SpeedItem [upload=false, thread=0, time=4505823324, bytes=2346346]
SpeedItem [upload=false, thread=0, time=4526791317, bytes=2360890]
SpeedItem [upload=false, thread=0, time=4537544911, bytes=2388138]
SpeedItem [upload=false, thread=0, time=4559197371, bytes=2397280]
SpeedItem [upload=false, thread=0, time=4604338674, bytes=2402504]
SpeedItem [upload=false, thread=0, time=4616603380, bytes=2407728]
SpeedItem [upload=false, thread=0, time=4626859575, bytes=2434026]
SpeedItem [upload=false, thread=0, time=4641809625, bytes=2448214]
SpeedItem [upload=false, thread=0, time=4652125052, bytes=2461452]
SpeedItem [upload=false, thread=0, time=4667298383, bytes=2475818]
SpeedItem [upload=false, thread=0, time=4682588758, bytes=2484782]
SpeedItem [upload=false, thread=0, time=4698210143, bytes=2499148]
SpeedItem [upload=false, thread=0, time=4712144335, bytes=2504372]
SpeedItem [upload=false, thread=0, time=4734911859, bytes=2506984]
SpeedItem [upload=false, thread=0, time=4745545598, bytes=2509596]
SpeedItem [upload=false, thread=0, time=4757505703, bytes=2533282]
SpeedItem [upload=false, thread=0, time=4771251526, bytes=2539634]
SpeedItem [upload=false, thread=0, time=4787956563, bytes=2542246]
SpeedItem [upload=false, thread=0, time=4815941992, bytes=2582910]
SpeedItem [upload=false, thread=0, time=4829428984, bytes=2603628]
SpeedItem [upload=false, thread=0, time=4843480925, bytes=2608852]
SpeedItem [upload=false, thread=0, time=4871588808, bytes=2614254]
SpeedItem [upload=false, thread=0, time=4881800256, bytes=2631054]
SpeedItem [upload=false, thread=0, time=4892726864, bytes=2644114]
SpeedItem [upload=false, thread=0, time=4904809735, bytes=2648032]
SpeedItem [upload=false, thread=0, time=4917302647, bytes=2658658]
SpeedItem [upload=false, thread=0, time=4929505285, bytes=2671540]
SpeedItem [upload=false, thread=0, time=4939755326, bytes=2692436]
SpeedItem [upload=false, thread=0, time=4957219618, bytes=2706802]
SpeedItem [upload=false, thread=0, time=4975130828, bytes=2714638]
SpeedItem [upload=false, thread=0, time=5007207615, bytes=2718734]
SpeedItem [upload=false, thread=0, time=5007215109, bytes=2718734]
SpeedItem [upload=true, thread=0, time=80625303, bytes=1306]
SpeedItem [upload=true, thread=0, time=91732561, bytes=3918]
SpeedItem [upload=true, thread=0, time=116819698, bytes=9142]
SpeedItem [upload=true, thread=0, time=149158896, bytes=14366]
SpeedItem [upload=true, thread=0, time=165165604, bytes=18284]
SpeedItem [upload=true, thread=0, time=176622890, bytes=23508]
SpeedItem [upload=true, thread=0, time=201709378, bytes=27426]
SpeedItem [upload=true, thread=0, time=234317633, bytes=35440]
SpeedItem [upload=true, thread=0, time=256891958, bytes=37874]
SpeedItem [upload=true, thread=0, time=272706670, bytes=40486]
SpeedItem [upload=true, thread=0, time=285541235, bytes=44404]
SpeedItem [upload=true, thread=0, time=322086790, bytes=50934]
SpeedItem [upload=true, thread=0, time=332174083, bytes=57464]
SpeedItem [upload=true, thread=0, time=357236656, bytes=66606]
SpeedItem [upload=true, thread=0, time=640207229, bytes=73314]
SpeedItem [upload=true, thread=0, time=652093490, bytes=148884]
SpeedItem [upload=true, thread=0, time=684537009, bytes=155414]
SpeedItem [upload=true, thread=0, time=698125591, bytes=160638]
SpeedItem [upload=true, thread=0, time=713121543, bytes=161944]
SpeedItem [upload=true, thread=0, time=723217008, bytes=171086]
SpeedItem [upload=true, thread=0, time=734398348, bytes=178922]
SpeedItem [upload=true, thread=0, time=753329411, bytes=189370]
SpeedItem [upload=true, thread=0, time=793085370, bytes=193288]
SpeedItem [upload=true, thread=0, time=807227863, bytes=197206]
SpeedItem [upload=true, thread=0, time=821212415, bytes=203736]
SpeedItem [upload=true, thread=0, time=847073386, bytes=206348]
SpeedItem [upload=true, thread=0, time=873246502, bytes=210266]
SpeedItem [upload=true, thread=0, time=884974757, bytes=212878]
SpeedItem [upload=true, thread=0, time=895095681, bytes=216796]
SpeedItem [upload=true, thread=0, time=910198759, bytes=227422]
SpeedItem [upload=true, thread=0, time=925049314, bytes=237692]
SpeedItem [upload=true, thread=0, time=959140147, bytes=245528]
SpeedItem [upload=true, thread=0, time=969175057, bytes=252058]
SpeedItem [upload=true, thread=0, time=987206072, bytes=255976]
SpeedItem [upload=true, thread=0, time=1003707694, bytes=258588]
SpeedItem [upload=true, thread=0, time=1039930563, bytes=265118]
SpeedItem [upload=true, thread=0, time=1050134202, bytes=271648]
SpeedItem [upload=true, thread=0, time=1063038997, bytes=280790]
SpeedItem [upload=true, thread=0, time=1079144709, bytes=288626]
SpeedItem [upload=true, thread=0, time=1094197959, bytes=295156]
SpeedItem [upload=true, thread=0, time=1127189328, bytes=302992]
SpeedItem [upload=true, thread=0, time=1148446513, bytes=308216]
SpeedItem [upload=true, thread=0, time=1169160474, bytes=314746]
SpeedItem [upload=true, thread=0, time=1198164717, bytes=321276]
SpeedItem [upload=true, thread=0, time=1210195015, bytes=325194]
SpeedItem [upload=true, thread=0, time=1228148103, bytes=333030]
SpeedItem [upload=true, thread=0, time=1245246095, bytes=344784]
SpeedItem [upload=true, thread=0, time=1258107218, bytes=352620]
SpeedItem [upload=true, thread=0, time=1272196608, bytes=355232]
SpeedItem [upload=true, thread=0, time=1292072552, bytes=360456]
SpeedItem [upload=true, thread=0, time=1307003189, bytes=363068]
SpeedItem [upload=true, thread=0, time=1320164958, bytes=366986]
SpeedItem [upload=true, thread=0, time=1338245282, bytes=373516]
SpeedItem [upload=true, thread=0, time=1351122878, bytes=374822]
SpeedItem [upload=true, thread=0, time=1364117521, bytes=381352]
SpeedItem [upload=true, thread=0, time=1379888482, bytes=382658]
SpeedItem [upload=true, thread=0, time=1390143887, bytes=385270]
SpeedItem [upload=true, thread=0, time=1405189231, bytes=390494]
SpeedItem [upload=true, thread=0, time=1416183823, bytes=395718]
SpeedItem [upload=true, thread=0, time=1431143724, bytes=398330]
SpeedItem [upload=true, thread=0, time=1444092122, bytes=402248]
SpeedItem [upload=true, thread=0, time=1459181990, bytes=411390]
SpeedItem [upload=true, thread=0, time=1478166293, bytes=420532]
SpeedItem [upload=true, thread=0, time=1494134429, bytes=423144]
SpeedItem [upload=true, thread=0, time=1521143953, bytes=428368]
SpeedItem [upload=true, thread=0, time=1535255180, bytes=432286]
SpeedItem [upload=true, thread=0, time=1551085528, bytes=434898]
SpeedItem [upload=true, thread=0, time=1579216131, bytes=444040]
SpeedItem [upload=true, thread=0, time=1603197710, bytes=447958]
SpeedItem [upload=true, thread=0, time=1615138116, bytes=451876]
SpeedItem [upload=true, thread=0, time=1627194241, bytes=455972]
SpeedItem [upload=true, thread=0, time=1637983774, bytes=459712]
SpeedItem [upload=true, thread=0, time=1650164414, bytes=466242]
SpeedItem [upload=true, thread=0, time=1660173099, bytes=470338]
SpeedItem [upload=true, thread=0, time=1673192837, bytes=476690]
SpeedItem [upload=true, thread=0, time=1693124713, bytes=481914]
SpeedItem [upload=true, thread=0, time=1717190336, bytes=485832]
SpeedItem [upload=true, thread=0, time=1727191154, bytes=491056]
SpeedItem [upload=true, thread=0, time=1737203649, bytes=494974]
SpeedItem [upload=true, thread=0, time=1755221677, bytes=496280]
SpeedItem [upload=true, thread=0, time=1769177023, bytes=498892]
SpeedItem [upload=true, thread=0, time=1802100623, bytes=508034]
SpeedItem [upload=true, thread=0, time=1812177949, bytes=514564]
SpeedItem [upload=true, thread=0, time=1832040946, bytes=515870]
SpeedItem [upload=true, thread=0, time=1845221949, bytes=522400]
SpeedItem [upload=true, thread=0, time=1856182767, bytes=530236]
SpeedItem [upload=true, thread=0, time=1868051588, bytes=531542]
SpeedItem [upload=true, thread=0, time=1894068197, bytes=545908]
SpeedItem [upload=true, thread=0, time=1921065428, bytes=551132]
SpeedItem [upload=true, thread=0, time=1931177934, bytes=555050]
SpeedItem [upload=true, thread=0, time=1945105030, bytes=558968]
SpeedItem [upload=true, thread=0, time=1970145514, bytes=565498]
SpeedItem [upload=true, thread=0, time=1980397092, bytes=570722]
SpeedItem [upload=true, thread=0, time=1993111973, bytes=573334]
SpeedItem [upload=true, thread=0, time=2003138702, bytes=574640]
SpeedItem [upload=true, thread=0, time=2022133421, bytes=577252]
SpeedItem [upload=true, thread=0, time=2032213908, bytes=582476]
SpeedItem [upload=true, thread=0, time=2045204933, bytes=587700]
SpeedItem [upload=true, thread=0, time=2060168572, bytes=592924]
SpeedItem [upload=true, thread=0, time=2075092344, bytes=596842]
SpeedItem [upload=true, thread=0, time=2091139188, bytes=603372]
SpeedItem [upload=true, thread=0, time=2105950712, bytes=611208]
