SpeedItem [upload=false, thread=0, time=3080360289, bytes=1727912]
SpeedItem [upload=false, thread=0, time=3106265970, bytes=1742960]
SpeedItem [upload=false, thread=0, time=3118146940, bytes=1750484]
SpeedItem [upload=false, thread=0, time=3140361608, bytes=1770548]
SpeedItem [upload=false, thread=0, time=3152726592, bytes=1778072]
SpeedItem [upload=false, thread=0, time=3164537219, bytes=1790612]
SpeedItem [upload=false, thread=0, time=3178041532, bytes=1798136]
SpeedItem [upload=false, thread=0, time=3188516343, bytes=1806914]
SpeedItem [upload=false, thread=0, time=3198821138, bytes=1816946]
SpeedItem [upload=false, thread=0, time=3210441669, bytes=1825724]
SpeedItem [upload=false, thread=0, time=3223487067, bytes=1833248]
SpeedItem [upload=false, thread=0, time=3234448278, bytes=1843280]
SpeedItem [upload=false, thread=0, time=3247060847, bytes=1853312]
SpeedItem [upload=false, thread=0, time=3259691437, bytes=1854566]
SpeedItem [upload=false, thread=0, time=3269842058, bytes=1873376]
SpeedItem [upload=false, thread=0, time=3313906625, bytes=1878392]
SpeedItem [upload=false, thread=0, time=3325008733, bytes=1893440]
SpeedItem [upload=false, thread=0, time=3350312657, bytes=1908488]
SpeedItem [upload=false, thread=0, time=3367768667, bytes=1912250]
SpeedItem [upload=false, thread=0, time=3382725917, bytes=1938584]
SpeedItem [upload=false, thread=0, time=3403615516, bytes=1941092]
SpeedItem [upload=false, thread=0, time=3414065912, bytes=1967426]
SpeedItem [upload=false, thread=0, time=3446090895, bytes=1971188]
SpeedItem [upload=false, thread=0, time=3466618202, bytes=1972442]
SpeedItem [upload=false, thread=0, time=3510623526, bytes=1973696]
SpeedItem [upload=false, thread=0, time=3561796887, bytes=2000364]
SpeedItem [upload=false, thread=0, time=3576835584, bytes=2035142]
SpeedItem [upload=false, thread=0, time=3592576195, bytes=2038904]
SpeedItem [upload=false, thread=0, time=3602752927, bytes=2043920]
SpeedItem [upload=false, thread=0, time=3618430550, bytes=2053952]
SpeedItem [upload=false, thread=0, time=3628487127, bytes=2056460]
SpeedItem [upload=false, thread=0, time=3639482333, bytes=2061476]
SpeedItem [upload=false, thread=0, time=3649729668, bytes=2071508]
SpeedItem [upload=false, thread=0, time=3660774488, bytes=2074016]
SpeedItem [upload=false, thread=0, time=3672719463, bytes=2079032]
SpeedItem [upload=false, thread=0, time=3684558650, bytes=2090318]
SpeedItem [upload=false, thread=0, time=3697658881, bytes=2091572]
SpeedItem [upload=false, thread=0, time=3709573468, bytes=2096588]
SpeedItem [upload=false, thread=0, time=3720714866, bytes=2105366]
SpeedItem [upload=false, thread=0, time=3730931638, bytes=2110382]
SpeedItem [upload=false, thread=0, time=3741661554, bytes=2116652]
SpeedItem [upload=false, thread=0, time=3752693691, bytes=2121668]
SpeedItem [upload=false, thread=0, time=3763344507, bytes=2130446]
SpeedItem [upload=false, thread=0, time=3773459279, bytes=2134208]
SpeedItem [upload=false, thread=0, time=3788504569, bytes=2141732]
SpeedItem [upload=false, thread=0, time=3803299641, bytes=2151764]
SpeedItem [upload=false, thread=0, time=3814189227, bytes=2158034]
SpeedItem [upload=false, thread=0, time=3824492282, bytes=2165558]
SpeedItem [upload=false, thread=0, time=3837684196, bytes=2171828]
SpeedItem [upload=false, thread=0, time=3850627393, bytes=2176844]
SpeedItem [upload=false, thread=0, time=3861662356, bytes=2184368]
SpeedItem [upload=false, thread=0, time=3872261962, bytes=2191892]
SpeedItem [upload=false, thread=0, time=3882553482, bytes=2196908]
SpeedItem [upload=false, thread=0, time=3892802021, bytes=2203178]
SpeedItem [upload=false, thread=0, time=3903806226, bytes=2211956]
SpeedItem [upload=false, thread=0, time=3919860332, bytes=2219480]
SpeedItem [upload=false, thread=0, time=3934080841, bytes=2224496]
SpeedItem [upload=false, thread=0, time=3948943699, bytes=2237036]
SpeedItem [upload=false, thread=0, time=3966380652, bytes=2247068]
SpeedItem [upload=false, thread=0, time=3976761014, bytes=2258354]
SpeedItem [upload=false, thread=0, time=3986766515, bytes=2262116]
SpeedItem [upload=false, thread=0, time=4002522882, bytes=2269640]
SpeedItem [upload=false, thread=0, time=4015006752, bytes=2282180]
SpeedItem [upload=false, thread=0, time=4030393037, bytes=2289704]
SpeedItem [upload=false, thread=0, time=4043547300, bytes=2297228]
SpeedItem [upload=false, thread=0, time=4055461016, bytes=2312276]
SpeedItem [upload=false, thread=0, time=4068817382, bytes=2317292]
SpeedItem [upload=false, thread=0, time=4080231947, bytes=2322308]
SpeedItem [upload=false, thread=0, time=4094566136, bytes=2334848]
SpeedItem [upload=false, thread=0, time=4107807866, bytes=2344880]
SpeedItem [upload=false, thread=0, time=4118151158, bytes=2352404]
SpeedItem [upload=false, thread=0, time=4130276517, bytes=2359928]
SpeedItem [upload=false, thread=0, time=4145071399, bytes=2369960]
SpeedItem [upload=false, thread=0, time=4157898802, bytes=2382500]
SpeedItem [upload=false, thread=0, time=4171412747, bytes=2387516]
SpeedItem [upload=false, thread=0, time=4181646627, bytes=2401310]
SpeedItem [upload=false, thread=0, time=4191868092, bytes=2408834]
SpeedItem [upload=false, thread=0, time=4203863225, bytes=2412596]
SpeedItem [upload=false, thread=0, time=4214400060, bytes=2425136]
SpeedItem [upload=false, thread=0, time=4226168847, bytes=2432660]
SpeedItem [upload=false, thread=0, time=4236645649, bytes=2440184]
SpeedItem [upload=false, thread=0, time=4247430220, bytes=2445200]
SpeedItem [upload=false, thread=0, time=4257784701, bytes=2458994]
SpeedItem [upload=false, thread=0, time=4271039694, bytes=2467772]
SpeedItem [upload=false, thread=0, time=4281241970, bytes=2471534]
SpeedItem [upload=false, thread=0, time=4291637326, bytes=2485328]
SpeedItem [upload=false, thread=0, time=4304863228, bytes=2495360]
SpeedItem [upload=false, thread=0, time=4316776202, bytes=2500376]
SpeedItem [upload=false, thread=0, time=4347240148, bytes=2512916]
SpeedItem [upload=false, thread=0, time=4368031863, bytes=2525456]
SpeedItem [upload=false, thread=0, time=4380988767, bytes=2540504]
SpeedItem [upload=false, thread=0, time=4403265441, bytes=2555552]
SpeedItem [upload=false, thread=0, time=4414403096, bytes=2570600]
SpeedItem [upload=false, thread=0, time=4427157040, bytes=2575616]
SpeedItem [upload=false, thread=0, time=4438676554, bytes=2585648]
SpeedItem [upload=false, thread=0, time=4451178772, bytes=2590664]
SpeedItem [upload=false, thread=0, time=4465992222, bytes=2608220]
SpeedItem [upload=false, thread=0, time=4478228345, bytes=2618252]
SpeedItem [upload=false, thread=0, time=4491458658, bytes=2623268]
SpeedItem [upload=false, thread=0, time=4503184060, bytes=2638316]
SpeedItem [upload=false, thread=0, time=4516385601, bytes=2650856]
SpeedItem [upload=false, thread=0, time=4528898502, bytes=2655872]
SpeedItem [upload=false, thread=0, time=4539750346, bytes=2672174]
SpeedItem [upload=false, thread=0, time=4553266068, bytes=2683460]
SpeedItem [upload=false, thread=0, time=4569177759, bytes=2690984]
SpeedItem [upload=false, thread=0, time=4581025497, bytes=2709794]
SpeedItem [upload=false, thread=0, time=4595517551, bytes=2718572]
SpeedItem [upload=false, thread=0, time=4605784671, bytes=2724842]
SpeedItem [upload=false, thread=0, time=4620514844, bytes=2741144]
SpeedItem [upload=false, thread=0, time=4631193958, bytes=2753684]
SpeedItem [upload=false, thread=0, time=4644584644, bytes=2758700]
SpeedItem [upload=false, thread=0, time=4654862497, bytes=2768732]
SpeedItem [upload=false, thread=0, time=4665562618, bytes=2781272]
SpeedItem [upload=false, thread=0, time=4678370777, bytes=2791304]
SpeedItem [upload=false, thread=0, time=4689502897, bytes=2796320]
SpeedItem [upload=false, thread=0, time=4699741543, bytes=2813876]
SpeedItem [upload=false, thread=0, time=4711530899, bytes=2818892]
SpeedItem [upload=false, thread=0, time=4725091808, bytes=2831432]
SpeedItem [upload=false, thread=0, time=4736265341, bytes=2848988]
SpeedItem [upload=false, thread=0, time=4748126968, bytes=2854004]
SpeedItem [upload=false, thread=0, time=4760476120, bytes=2864036]
SpeedItem [upload=false, thread=0, time=4773552023, bytes=2877830]
SpeedItem [upload=false, thread=0, time=4785794904, bytes=2890370]
SpeedItem [upload=false, thread=0, time=4796090726, bytes=2900402]
SpeedItem [upload=false, thread=0, time=4806644593, bytes=2909180]
SpeedItem [upload=false, thread=0, time=4816746308, bytes=2924228]
SpeedItem [upload=false, thread=0, time=4828063958, bytes=2931752]
SpeedItem [upload=false, thread=0, time=4838152099, bytes=2941784]
SpeedItem [upload=false, thread=0, time=4849789602, bytes=2951816]
SpeedItem [upload=false, thread=0, time=4860119942, bytes=2968118]
SpeedItem [upload=false, thread=0, time=4873748312, bytes=2976896]
SpeedItem [upload=false, thread=0, time=4885128031, bytes=2981912]
SpeedItem [upload=false, thread=0, time=4895986004, bytes=3004484]
SpeedItem [upload=false, thread=0, time=4912845645, bytes=3014516]
SpeedItem [upload=false, thread=0, time=4923513823, bytes=3020786]
SpeedItem [upload=false, thread=0, time=4933707193, bytes=3035834]
SpeedItem [upload=false, thread=0, time=4945729622, bytes=3052136]
SpeedItem [upload=false, thread=0, time=4960041271, bytes=3058406]
SpeedItem [upload=false, thread=0, time=4970132138, bytes=3073454]
SpeedItem [upload=false, thread=0, time=4982646650, bytes=3092264]
SpeedItem [upload=false, thread=0, time=4992804332, bytes=3096026]
SpeedItem [upload=false, thread=0, time=5004969525, bytes=3102296]
SpeedItem [upload=false, thread=0, time=5015362690, bytes=3117344]
SpeedItem [upload=false, thread=0, time=5027398917, bytes=3134900]
SpeedItem [upload=false, thread=0, time=5037960133, bytes=3139916]
SpeedItem [upload=false, thread=0, time=5049204926, bytes=3157472]
SpeedItem [upload=false, thread=0, time=5063234624, bytes=3175028]
SpeedItem [upload=false, thread=0, time=5075528732, bytes=3180044]
SpeedItem [upload=false, thread=0, time=5086803183, bytes=3192584]
SpeedItem [upload=false, thread=0, time=5096943479, bytes=3207632]
SpeedItem [upload=false, thread=0, time=5110668341, bytes=3217664]
SpeedItem [upload=false, thread=0, time=5122661505, bytes=3230204]
SpeedItem [upload=false, thread=0, time=5133048511, bytes=3240236]
SpeedItem [upload=false, thread=0, time=5147379664, bytes=3257792]
SpeedItem [upload=false, thread=0, time=5159995310, bytes=3265316]
SpeedItem [upload=false, thread=0, time=5172372491, bytes=3277856]
SpeedItem [upload=false, thread=0, time=5182549788, bytes=3294158]
SpeedItem [upload=false, thread=0, time=5192561558, bytes=3306698]
SpeedItem [upload=false, thread=0, time=5203748247, bytes=3317984]
SpeedItem [upload=false, thread=0, time=5219873288, bytes=3328016]
SpeedItem [upload=false, thread=0, time=5229963561, bytes=3348080]
SpeedItem [upload=false, thread=0, time=5242296615, bytes=3360620]
SpeedItem [upload=false, thread=0, time=5254088851, bytes=3368144]
SpeedItem [upload=false, thread=0, time=5264191941, bytes=3375668]
SpeedItem [upload=false, thread=0, time=5274240051, bytes=3386954]
SpeedItem [upload=false, thread=0, time=5285203830, bytes=3398240]
SpeedItem [upload=false, thread=0, time=5298286040, bytes=3412034]
SpeedItem [upload=false, thread=0, time=5308747346, bytes=3423320]
SpeedItem [upload=false, thread=0, time=5322490093, bytes=3440876]
SpeedItem [upload=false, thread=0, time=5335837956, bytes=3453416]
SpeedItem [upload=false, thread=0, time=5348784784, bytes=3465956]
SpeedItem [upload=false, thread=0, time=5363604750, bytes=3486020]
SpeedItem [upload=false, thread=0, time=5378743873, bytes=3501068]
SpeedItem [upload=false, thread=0, time=5389371286, bytes=3514862]
SpeedItem [upload=false, thread=0, time=5399993997, bytes=3528656]
SpeedItem [upload=false, thread=0, time=5413675449, bytes=3538688]
SpeedItem [upload=false, thread=0, time=5494683079, bytes=3541196]
SpeedItem [upload=false, thread=0, time=5545330515, bytes=3565022]
SpeedItem [upload=false, thread=0, time=5566733639, bytes=3566276]
SpeedItem [upload=false, thread=0, time=5577057420, bytes=3573800]
SpeedItem [upload=false, thread=0, time=5597709645, bytes=3611420]
SpeedItem [upload=false, thread=0, time=5608927498, bytes=3613928]
SpeedItem [upload=false, thread=0, time=5621822803, bytes=3625214]
SpeedItem [upload=false, thread=0, time=5642485482, bytes=3633992]
SpeedItem [upload=false, thread=0, time=5652790974, bytes=3640262]
SpeedItem [upload=false, thread=0, time=5663621300, bytes=3649040]
SpeedItem [upload=false, thread=0, time=5676562503, bytes=3656564]
SpeedItem [upload=false, thread=0, time=5689333251, bytes=3664088]
SpeedItem [upload=false, thread=0, time=5702941145, bytes=3674120]
SpeedItem [upload=false, thread=0, time=5787764178, bytes=3679136]
SpeedItem [upload=false, thread=0, time=5863272926, bytes=3705804]
SpeedItem [upload=false, thread=0, time=5876572017, bytes=3738074]
SpeedItem [upload=false, thread=0, time=5896057374, bytes=3739328]
SpeedItem [upload=false, thread=0, time=5906067350, bytes=3748106]
SpeedItem [upload=false, thread=0, time=5931093574, bytes=3751868]
SpeedItem [upload=false, thread=0, time=5941497829, bytes=3754376]
SpeedItem [upload=false, thread=0, time=5965201727, bytes=3764408]
SpeedItem [upload=false, thread=0, time=5978456029, bytes=3769424]
SpeedItem [upload=false, thread=0, time=5996149509, bytes=3776948]
SpeedItem [upload=false, thread=0, time=6011076040, bytes=3781964]
SpeedItem [upload=false, thread=0, time=6042371826, bytes=3784472]
SpeedItem [upload=false, thread=0, time=6075681974, bytes=3799520]
SpeedItem [upload=false, thread=0, time=6106343873, bytes=3814568]
SpeedItem [upload=false, thread=0, time=6117468306, bytes=3819584]
SpeedItem [upload=false, thread=0, time=6140976320, bytes=3829616]
SpeedItem [upload=false, thread=0, time=6154825035, bytes=3837140]
SpeedItem [upload=false, thread=0, time=6177213841, bytes=3844664]
SpeedItem [upload=false, thread=0, time=6190908517, bytes=3854696]
SpeedItem [upload=false, thread=0, time=6210081347, bytes=3859712]
SpeedItem [upload=false, thread=0, time=6227460982, bytes=3867236]
SpeedItem [upload=false, thread=0, time=6243879969, bytes=3877268]
